"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Asset Id","KP","Pipeline Section","Utility Type","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date 2","Comments","Thrust Block Category"
"","","","","","","","","","","PHW-TB-012","1802.818","PHW","THRUST BLOCK","Type 1","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-013","1870.316","PHW","THRUST BLOCK","Type 2","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-014","1878.593","PHW","THRUST BLOCK","Type 3","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-015","2029.495","PHW","THRUST BLOCK","Type 3","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-016","2036.932","PHW","THRUST BLOCK","Type 2","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-017","2336.958","PHW","THRUST BLOCK","Type 2","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-018","2500.706","PHW","THRUST BLOCK","Type 6","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-019","2536.539","PHW","THRUST BLOCK","Type 5","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-020","2667.545","PHW","THRUST BLOCK","Type 4","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-021","2679.259","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
